# Id ,ECD(um) ,C  ,O  ,Na ,Mg ,Al ,Si ,P  ,S  ,Cl ,K  ,Ca ,Mn ,Fe ,Sc ,Ti ,Co 
497,1.158229259,84.79770161,15.11450243,0,0,0,0,0,0,0,0,0,0,0,0,0,0.087795954
498,1.006205281,84.28714741,15.71285259,0,0,0,0,0,0,0,0,0,0,0,0,0,0
504,1.147250534,84.35280091,15.64719909,0,0,0,0,0,0,0,0,0,0,0,0,0,0
507,1.574960386,79.61718981,19.01803315,0,0.094376126,0.562146612,0.632237738,0,0,0,0.022749425,0,0,0,0,0,0.053267138
554,1.368587146,79.63655108,19.12848269,0,0.19326578,0.268621651,0.524919242,0,0,0,0,0,0,0.176758721,0,0,0.071400835
555,1.321542524,80.28552279,18.22096005,0,0.120661598,0.405980192,0.68635235,0,0,0,0.086886168,0,0,0.134387521,0,0,0.059249328
556,1.466783648,82.74678952,16.82437744,0.210656434,0.139476024,0,0,0,0,0,0,0,0,0,0,0,0.078700584
570,1.466783648,74.66980294,22.89309934,0.064858148,0.081627494,0.1709578,1.947946762,0,0,0,0.044662057,0,0,0.075077593,0,0,0.051967863
585,9.856190344,60.35152558,34.11624518,0.077215325,0,0.249674158,5.05049679,0,0,0,0.024265693,0,0,0.072016902,0,0,0.05856037
587,1.079034952,85.89230036,13.78590877,0,0,0,0.225705078,0,0,0,0,0,0,0,0,0,0.096085791
595,2.227330338,79.60476413,18.97622303,0,0,0,0.055764788,0.136499251,0,0,0,1.158073546,0,0,0,0,0.068675246
604,2.937878198,83.75628866,16.15084856,0,0,0,0,0,0,0,0,0,0,0,0,0,0.092862777
607,1.431855217,85.29468975,14.61809151,0,0,0,0,0,0,0,0,0,0,0,0,0,0.087218737
612,1.922352491,77.50176019,20.40070511,0,0.349822585,0.535493955,0.931955758,0,0,0,0.118603967,0,0,0.099948068,0,0,0.061710375
616,3.412208125,69.11639949,26.90037276,0,0.257421011,0.822295492,1.880979676,0,0,0,0.14583535,0,0,0.341488807,0.479870122,0,0.05533729
617,1.10224266,85.05114727,14.84252398,0,0,0,0,0,0,0,0,0,0,0,0,0,0.106328749
632,9.746436981,69.38040828,25.82114609,0,0.216673104,0.386113402,3.94675176,0,0,0,0.032428736,0.027996898,0,0.088228095,0.055061097,0,0.045192537
661,1.10224266,84.54538294,15.36607681,0,0,0,0,0,0,0,0,0,0,0,0,0,0.088540251
670,1.147250534,85.23943071,14.66142844,0,0,0,0,0,0,0,0,0,0,0,0,0,0.099140853
681,1.661000816,85.35185294,14.52820139,0,0,0,0,0,0,0,0,0,0,0,0,0,0.119945669
702,1.683703475,74.79521565,23.04570519,0.170561375,0.168853913,0.529639664,0.953491116,0,0,0,0.105539976,0,0,0.150945599,0,0,0.080047515
705,1.169104889,85.35969614,14.45107141,0,0,0,0,0,0,0,0,0,0,0.050779387,0,0,0.13845307
712,1.720875802,74.44204494,22.41232279,0,0.142245682,1.136215052,1.419978418,0,0,0,0.359747911,0,0,0.087445203,0,0,0
721,1.321542524,85.45184008,14.43987309,0,0,0,0,0,0,0,0,0,0,0,0,0,0.108286835
722,1.483939596,84.32547051,15.59317946,0,0,0,0,0,0,0,0,0,0,0,0,0,0.081350023
723,3.374915113,82.74865699,17.25134301,0,0,0,0,0,0,0,0,0,0,0,0,0,0
724,1.74279867,84.07693804,15.8166173,0,0,0,0,0,0,0,0,0,0,0,0,0,0.106444661
726,2.84152799,84.36865612,15.55660759,0,0,0,0,0,0,0,0,0,0,0,0,0,0.074736291
729,2.55544448,85.84241578,14.06080285,0,0,0,0,0,0,0,0,0,0,0,0,0,0.09678137
741,1.031053598,84.6858362,15.22155316,0,0,0,0,0,0,0,0,0,0,0,0,0,0.092610644
750,1.179880277,78.53952935,20.01853996,0,0.086478793,0.344835243,0.721246817,0,0,0,0.045416025,0.041574959,0,0.13542936,0,0,0.066949491
751,2.881333434,79.72703421,18.67310792,0,0.113331126,0.319547824,0.928591526,0,0,0,0.02265116,0.027933436,0,0.111910755,0,0,0.075892046
752,2.255561253,81.27004856,17.66969376,0,0,0.329840395,0.515634554,0,0,0,0.088539077,0,0,0.074127406,0,0,0.052116247
759,3.543214423,64.23084551,31.13618624,0,0,0,0,0,0,0.128965305,0,4.426238555,0,0,0,0,0.077764393
785,2.787570017,76.78156875,20.75681732,0.438799483,0,0.553788403,1.26780706,0,0,0,0.029800161,0.064430791,0,0.056849812,0,0,0.050138221
787,1.113665169,85.46021658,14.47424505,0,0,0,0,0,0,0,0,0,0,0,0,0,0.065538374
798,3.213561964,71.09124666,25.71136783,0.201932809,0.249326818,0.50447508,1.143289954,0,0.091257111,0.034895292,0.023215816,0.21748193,0,0.657816575,0,0,0.073694129
799,1.282665091,84.83887014,15.04331618,0,0,0,0,0,0,0,0,0,0,0,0,0,0.117813681
819,1.74279867,74.85749535,23.3730071,0.194494084,0,0,0.207014155,0,0.591054672,0,0,0.640964325,0,0.047186445,0,0,0.088783875
823,1.136165728,78.55491357,19.85993646,0,0.063280722,0.603890896,0.659886809,0,0,0,0.099197982,0.052400638,0,0.051569261,0,0,0.054923661
825,1.492443617,79.65027801,18.51510443,0,0.123160726,0.671369078,0.79939984,0,0,0,0.104644717,0,0,0.074101564,0,0,0.061941633
829,1.018705205,79.31779694,19.92158693,0,0,0,0.046859852,0,0,0,0,0.611138668,0,0,0,0,0.102617608
836,1.889148741,77.53689425,19.56741443,0,0,0,0.191568569,0,0,0,0,0.063636337,0,2.425087647,0,0,0.215398769
838,1.71350585,78.83905995,19.40277683,0,0.346966385,0.403335716,0.705249032,0,0,0,0.029671463,0,0,0.218251044,0,0,0.054689583
850,1.534256851,86.24760602,13.6851779,0,0,0,0,0,0,0,0,0,0,0,0,0,0.06721608
854,2.796635309,83.88584246,16.02793989,0,0,0,0,0,0,0,0,0,0,0,0,0,0.08621765
879,1.820925781,85.36524389,14.53855744,0,0,0,0,0,0,0,0,0,0,0,0,0,0.096198674
881,1.222032068,85.49251231,14.39928746,0,0,0,0,0,0,0,0,0,0,0,0,0,0.108200238
908,3.374915113,77.48849834,20.55939945,0,0.071954168,0.508841209,0.995141433,0,0,0,0.066691459,0.02815275,0,0.207911315,0,0,0.07340988
936,10.25021473,54.36225379,34.56999715,0,0,1.304700704,9.208471294,0,0,0,0.085179308,0.031665589,0,0.331541571,0.032289375,0,0.073901224
