# Id ,Class ,Area (µm²) ,Aspect Ratio ,Breadth (µm) ,Direction (°) ,ECD (µm) ,Length (µm) ,Perimeter (µm) ,Shape ,Stage X ,Stage Y ,Count ,C  Apparent Concentration (%) ,C   k ratio ,C  Wt% ,C   Wt% ? ,O  Apparent Concentration (%) ,O   k ratio ,O  Wt% ,O   Wt% ? ,Na Apparent Concentration (%) ,Na  k ratio ,Na Wt% ,Na  Wt% ? ,Mg Apparent Concentration (%) ,Mg  k ratio ,Mg Wt% ,Mg  Wt% ? ,Al Apparent Concentration (%) ,Al  k ratio ,Al Wt% ,Al  Wt% ? ,Si Apparent Concentration (%) ,Si  k ratio ,Si Wt% ,Si  Wt% ? ,P  Apparent Concentration (%) ,P   k ratio ,P  Wt% ,P   Wt% ? ,S  Apparent Concentration (%) ,S   k ratio ,S  Wt% ,S   Wt% ? ,Cl Apparent Concentration (%) ,Cl  k ratio ,Cl Wt% ,Cl  Wt% ? ,K  Apparent Concentration (%) ,K   k ratio ,K  Wt% ,K   Wt% ? ,Ca Apparent Concentration (%) ,Ca  k ratio ,Ca Wt% ,Ca  Wt% ? ,Mn Apparent Concentration (%) ,Mn  k ratio ,Mn Wt% ,Mn  Wt% ? ,Fe Apparent Concentration (%) ,Fe  k ratio ,Fe Wt% ,Fe  Wt% ? ,Sc Apparent Concentration (%) ,Sc  k ratio ,Sc Wt% ,Sc  Wt% ? ,Ti Apparent Concentration (%) ,Ti  k ratio ,Ti Wt% ,Ti  Wt% ? ,Co Apparent Concentration (%) ,Co  k ratio ,Co Wt% ,Co  Wt% ? ,Ni Apparent Concentration (%) ,Ni  k ratio ,Ni Wt% ,Ni  Wt% ? ,Cu Apparent Concentration (%) ,Cu  k ratio ,Cu Wt% ,Cu  Wt% ? ,Pb Apparent Concentration (%) ,Pb  k ratio ,Pb Wt% ,Pb  Wt% ? ,C  Normalized ,O  Normalized ,Na Normalized ,Mg Normalized ,Al Normalized ,Si Normalized ,P  Normalized ,S  Normalized ,Cl Normalized ,K  Normalized ,Ca Normalized ,Mn Normalized ,Fe Normalized ,Sc Normalized ,Ti Normalized ,Co Normalized ,Ni Normalized ,Cu Normalized ,Pb Normalized
88414,0,1.729507014,1.418387946,1.296074279,122.34375,1.483939596,1.838336135,5.195798423,1.242145287,-0.593008789,-0.566859495,309163,27.45710909,0.274571091,37.13871837,0.19684257,3.933876008,0.013237895,10.26702151,0.208021817,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.159698993,0.00159699,0.217864267,0.048620586,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
88467,0,2.842752909,1.445756283,1.703143723,66.09375,1.902499782,2.462330738,6.265166205,1.098793842,-0.518020019,-0.560821836,319314,28.79134119,0.287913412,39.47824538,0.199125824,3.812744096,0.012830273,10.09572446,0.206545671,0,0,0,0,0,0,0,0,0.085061468,0.000610941,0.09241128,0.019133487,0.067160564,0.000532184,0.069283019,0.016349633,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.121014437,0.001210144,0.165104936,0.046450811,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
88497,0,1.212642849,1.992863935,1.012935332,115.3125,1.242571861,2.018642291,4.706983158,1.453926708,-0.342386175,-0.634090232,319855,32.54695535,0.325469553,42.75458455,0.207331427,3.920519352,0.013192948,10.53806543,0.211900938,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.119013165,0.001190132,0.162589422,0.048347906,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
88533,0,1.073487112,1.43735239,1.096678236,9.84375,1.169104889,1.576313084,3.826654678,1.085505046,-0.348283863,-0.597168213,316493,24.3951574,0.243951574,31.86382055,0.169557391,2.615220286,0.008800483,7.154537737,0.174577651,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.155900605,0.001559006,0.212984392,0.045838527,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
88534,0,0.914451985,1.70053729,0.892919053,112.5,1.079034952,1.518442147,3.605181359,1.13105432,-0.33221595,-0.595425403,313985,25.52237809,0.255223781,34.58862007,0.186398823,2.304987982,0.00775652,6.521756947,0.181562919,0,0,0,0,0,0,0,0,0,0,0,0,0.079091621,0.000626727,0.080538209,0.016360731,0,0,0,0,0.124545384,0.00107291,0.124862953,0.017133275,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.162244553,0.001622446,0.221795728,0.047540915,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
88555,0,0.914451985,1.264906513,0.996980215,116.71875,1.079034952,1.261086767,3.337839413,0.969527442,-0.362722791,-0.579025571,318059,26.41913593,0.264191359,37.91514039,0.206197053,5.148309842,0.017324589,13.08983862,0.23256205,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.253027841,0.011195618,1.274481416,0.028003959,0,0,0,0,0,0,0,0,0.16453393,0.001645339,0.223376066,0.049105799,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
88574,0,1.113245894,1.231106632,1.127954353,156.09375,1.190558145,1.388632085,3.683484002,0.969876887,-0.340366857,-0.559356488,315490,30.05544841,0.300554484,52.27169394,0.395868579,6.392733753,0.021512201,16.00995213,0.242183567,0.183262827,0.000773426,0.195899769,0.031529687,0.137348869,0.000910915,0.165697315,0.022002435,0.305934343,0.002197325,0.336538698,0.022874303,0.869805273,0.00689239,0.908642169,0.024588872,0,0,0,0,0.237795804,0.002048518,0.243246299,0.019131992,0,0,0,0,0.070400717,0.000596365,0.070043944,0.017629669,0,0,0,0,0.167304557,0.001673046,0.214338023,0.031521209,0,0,0,0,0.233674375,0.002336744,0.317315222,0.048837229,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
88585,0,0.81505503,1.357387328,0.957648507,12.65625,1.018705205,1.299899947,3.337839413,1.087762496,-0.327138457,-0.551418888,323132,25.57376027,0.255737603,33.44379961,0.17428284,2.834223956,0.009537453,7.715915143,0.180079683,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.141130073,0.001411301,0.192810269,0.045774152,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
88623,0,0.81505503,2.061552596,0.845965765,14.0625,1.018705205,1.744002918,4.504509246,1.981062465,-0.245805298,-0.635418988,315691,25.38853884,0.253885388,34.98693705,0.19367059,2.602005191,0.008756014,7.236248255,0.166284712,0,0,0,0,0,0,0,0,0,0,0,0,0.075150869,0.0005955,0.076706865,0.014885429,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.153453986,0.00153454,0.209215516,0.042124314,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
88654,0,0.81505503,1.220518214,0.986960059,111.09375,1.018705205,1.204602728,3.148800111,0.96804019,-0.210022388,-0.626000032,315354,26.51866972,0.265186697,30.67245781,0.170524768,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.091135059,0.00072216,0.089421083,0.015027515,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.167019072,0.001670191,0.229395693,0.045280426,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
